train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
20299,358,136,56,0.01,-17.039093017578125,-13.147088050842285,0.0003,0.005215872079133987,20400,150.0,0.003382620634511113,-25.707383090000004
20899,370,140,56,0.01,-16.262588500976562,-13.239436149597168,0.0003,0.00819708313792944,21000,150.0,0.002951371716335416,-24.380731690000008
21499,381,144,56,0.01,-15.617073059082031,-8.834405899047852,0.0003,0.00489210058003664,21600,150.0,0.0026069595478475094,-23.093134120000006
22099,392,148,56,0.02,-14.53292179107666,-3.730189323425293,0.0003,0.0047473241575062275,22200,150.0,0.0023280547466129065,-22.17720517
22699,403,152,56,0.02,-14.197827339172363,-6.636630058288574,0.0003,0.005146804265677929,22800,150.0,0.0021287165582180023,-21.604414419999994
23299,414,156,56,0.02,-13.577519416809082,-5.589020729064941,0.0003,0.004804196301847696,23400,150.0,0.001975475111976266,-20.70494197
23899,425,160,56,0.02,-13.063995361328125,-2.380298614501953,0.0003,0.00531814806163311,24000,150.0,0.0018369595054537058,-19.954680789999998
24499,437,164,56,0.02,-12.411636352539062,-7.889522552490234,0.0003,0.004469730891287327,24600,150.0,0.0017314936267212033,-19.28622932
25099,448,168,56,0.03,-11.803470611572266,2.075955867767334,0.0003,0.004192653577774763,25200,150.0,0.0016071514692157507,-18.748864
25699,459,172,56,0.03,-11.429386138916016,-2.3232555389404297,0.0003,0.004874891601502895,25800,150.0,0.0015869021881371737,-18.262840430000004
26299,471,176,56,0.03,-10.752899169921875,-1.6980987787246704,0.0003,0.003727308474481106,26400,150.0,0.0016379888402298093,-17.70628222
26899,482,180,55,0.03,-9.990015983581543,-0.5732254981994629,0.0003,0.004670947790145874,27000,150.0,0.0017558221006765962,-17.2690901
27499,493,184,55,0.03,-9.592525482177734,-1.5503392219543457,0.0003,0.0034900521859526634,27600,150.0,0.0016890238039195538,-16.845695640000002
28099,504,188,55,0.03,-8.938952445983887,3.80806303024292,0.0003,0.004861297085881233,28200,150.0,0.0016391959507018328,-16.24933659
28699,515,192,55,0.03,-8.677967071533203,-2.6408140659332275,0.0003,0.004000873304903507,28800,150.0,0.001531363232061267,-15.709009759999997
29299,526,196,55,0.03,-8.3253755569458,-1.2299184799194336,0.0003,0.003938048146665096,29400,150.0,0.0015044482424855232,-15.432641120000001
29899,536,200,55,0.04,-7.694819450378418,-1.0030280351638794,0.0003,0.00346014485694468,30000,150.0,0.0014630992664024234,-15.051255950000002
30499,547,204,55,0.04,-7.152008056640625,3.1052358150482178,0.0003,0.0038336790166795254,30600,150.0,0.0014891836326569319,-14.758338749999998
31099,558,208,55,0.05,-6.854628086090088,-3.1119160652160645,0.0003,0.003553465474396944,31200,150.0,0.001467089750804007,-14.631109979999998
31699,569,212,55,0.05,-6.382686614990234,0.9327324628829956,0.0003,0.004493498243391514,31800,150.0,0.0014615505933761597,-14.457773109999998
32299,580,216,55,0.05,-6.110315322875977,-0.17073100805282593,0.0003,0.0033931219950318336,32400,150.0,0.0013751061633229256,-14.22075757
32899,591,220,55,0.07,-5.701692581176758,0.513359785079956,0.0003,0.0027636161539703608,33000,150.0,0.0013621310936287045,-13.910146439999997
33499,602,224,55,0.08,-5.3302321434021,0.023777246475219727,0.0003,0.0031529401894658804,33600,150.0,0.0013231709599494934,-13.437231299999999
34099,613,228,55,0.09,-5.108554840087891,-1.8476142883300781,0.0003,0.0025078547187149525,34200,150.0,0.0013613811461254954,-13.31053918
34699,623,232,55,0.1,-4.707393169403076,-2.270717144012451,0.0003,0.00325733027420938,34800,150.0,0.0013606400461867452,-13.185044180000002
35299,634,236,55,0.09,-4.15540885925293,3.242353677749634,0.0003,0.002727158833295107,35400,150.0,0.0013501113280653954,-13.27564645
35899,645,240,55,0.09,-3.984421968460083,-0.23783062398433685,0.0003,0.002532648853957653,36000,150.0,0.0013857003068551421,-13.225360019999998
36499,656,244,55,0.09,-3.5853936672210693,4.909770965576172,0.0003,0.0035721254535019398,36600,150.0,0.00134856381919235,-13.151066079999998
37099,668,248,55,0.08,-3.2655584812164307,3.511624336242676,0.0003,0.0026441882364451885,37200,150.0,0.001334854867309332,-12.96342108
37699,679,252,55,0.09,-2.9939277172088623,1.668135404586792,0.0003,0.002912268042564392,37800,150.0,0.001374856336042285,-12.877451539999997
38299,690,256,55,0.1,-2.848895788192749,-0.5053029656410217,0.0003,0.0032891735900193453,38400,150.0,0.0013883273350074887,-12.899140240000001
38899,701,260,55,0.1,-2.584883689880371,-4.214300155639648,0.0003,0.0032541314139962196,39000,150.0,0.00135967752430588,-12.56175179
39499,712,264,55,0.11,-2.26521635055542,3.750068187713623,0.0003,0.002999237971380353,39600,150.0,0.0013252616627141833,-12.42612706
40099,723,268,55,0.1,-1.9149439334869385,1.9170583486557007,0.0003,0.0025775907561182976,40200,150.0,0.0013148305006325245,-12.50517531
40699,734,272,55,0.11,-1.785780429840088,0.9130101203918457,0.0003,0.0024014925584197044,40800,150.0,0.0012723281979560852,-12.070779009999999
