time/time_elapsed,train/learning_rate,rollout/success_rate,train/n_updates,train/ent_coef,time/total_timesteps,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,time/episodes
727,0.0003,0.07,437999,0.01177295483648777,438100,52,15.680731773376465,-79.35845245,150.0,0.11385871469974518,0.5709841847419739,2920
738,0.0003,0.07,438599,0.011740327812731266,438700,52,16.695632934570312,-82.53959557999998,150.0,0.37008896470069885,2.180967092514038,2924
750,0.0003,0.07,439199,0.011692365631461143,439300,52,16.014209747314453,-82.82772177000001,150.0,0.1524519920349121,2.622067451477051,2928
762,0.0003,0.06,439799,0.011762821115553379,439900,52,14.627472877502441,-87.77595844,150.0,0.16757728159427643,-2.2173008918762207,2932
773,0.0003,0.06,440399,0.011960233561694622,440500,52,16.520442962646484,-80.02999414,150.0,0.14539554715156555,-0.5902003049850464,2936
784,0.0003,0.06,440999,0.011686986312270164,441100,52,16.54071617126465,-81.21724148999999,150.0,0.12409618496894836,1.7876108884811401,2940
796,0.0003,0.04,441599,0.011572479270398617,441700,52,16.655567169189453,-84.2770505,150.0,0.1474744975566864,1.5259039402008057,2944
807,0.0003,0.04,442199,0.011542151682078838,442300,52,16.475296020507812,-78.95451838999999,150.0,0.1032758355140686,-0.7513444423675537,2948
819,0.0003,0.03,442799,0.011804090812802315,442900,52,15.765442848205566,-80.00844346999999,150.0,0.10717405378818512,-0.4377296566963196,2952
830,0.0003,0.03,443399,0.011743312701582909,443500,52,16.187664031982422,-78.59023926,150.0,0.218720942735672,0.6140261888504028,2956
842,0.0003,0.03,443999,0.011668666265904903,444100,52,15.273401260375977,-78.46257410000001,150.0,0.12771230936050415,-1.7089266777038574,2960
853,0.0003,0.02,444599,0.011403456330299377,444700,52,15.805093765258789,-78.01211269000001,150.0,0.1353459358215332,-0.9269715547561646,2964
865,0.0003,0.02,445199,0.011207684874534607,445300,52,17.071895599365234,-76.91311446,150.0,0.12213101983070374,2.3445205688476562,2968
876,0.0003,0.02,445799,0.011318674311041832,445900,52,15.120570182800293,-75.04265592,150.0,0.11025901138782501,-3.9066762924194336,2972
