time/fps,train/ent_coef_loss,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/episodes,train/ent_coef,time/total_timesteps,time/time_elapsed
56,2.9890060424804688,0.29,-20.51440233,0.0003,230949,4.464118003845215,0.0050166575238108635,150.0,1540,0.0028399161528795958,231050,550
56,-2.8804104328155518,0.29,-20.20765685,0.0003,231549,4.087932586669922,0.008294675499200821,150.0,1544,0.002829680684953928,231650,561
56,3.879509449005127,0.32,-19.502437139999998,0.0003,232149,4.687516212463379,0.0047253891825675964,150.0,1548,0.0029079546220600605,232250,572
56,-1.038344383239746,0.33,-19.61021693,0.0003,232749,4.146480083465576,0.00770716043189168,150.0,1552,0.0027881881687790155,232850,582
56,0.1506984829902649,0.34,-19.610744280000002,0.0003,233349,4.188329696655273,0.003052046988159418,150.0,1556,0.002650915179401636,233450,593
56,-2.4832916259765625,0.35,-19.64443358,0.0003,233949,4.050232410430908,0.010389115661382675,150.0,1560,0.0025862909387797117,234050,604
56,1.9985195398330688,0.37,-19.65160978,0.0003,234549,4.322059154510498,0.0032087271101772785,150.0,1564,0.002600620035082102,234650,615
56,-6.214303493499756,0.4,-19.09268376,0.0003,235149,3.985344886779785,0.002566324546933174,150.0,1568,0.002602502005174756,235250,625
56,-2.0945191383361816,0.4,-19.27205591,0.0003,235749,4.226448059082031,0.0029706167988479137,150.0,1572,0.0026092813350260258,235850,636
56,-0.5612871050834656,0.4,-19.308373330000002,0.0003,236349,4.214334011077881,0.004766968544572592,150.0,1576,0.002552196616306901,236450,647
56,-1.4041683673858643,0.38,-19.61607373,0.0003,236949,4.002969264984131,0.006005326751619577,150.0,1580,0.002560556400567293,237050,658
56,-3.0503954887390137,0.39,-18.840223630000004,0.0003,237549,4.118124961853027,0.01268436573445797,150.0,1584,0.0025399394799023867,237650,668
56,0.18804717063903809,0.39,-19.03397691,0.0003,238149,4.063742160797119,0.004862521775066853,150.0,1588,0.0025562255177646875,238250,679
56,0.7868959307670593,0.4,-18.186565740000002,0.0003,238749,4.207320213317871,0.0041998159140348434,150.0,1592,0.002669891808182001,238850,690
56,1.0632374286651611,0.39,-18.47026117,0.0003,239349,4.247591018676758,0.004389393143355846,150.0,1596,0.002672335831448436,239450,700
56,0.22891336679458618,0.4,-18.092547500000002,0.0003,239949,4.260709285736084,0.002876260317862034,150.0,1600,0.0026103416457772255,240050,711
56,1.7571362257003784,0.39,-18.0063345,0.0003,240549,4.44005823135376,0.004538252018392086,150.0,1604,0.0025656907819211483,240650,722
56,-1.3936206102371216,0.37,-17.97534874,0.0003,241149,3.9573581218719482,0.0023598861880600452,150.0,1608,0.002580619417130947,241250,732
56,-0.35365748405456543,0.38,-14.39655458,0.0003,241749,4.021076679229736,0.0038103298284113407,150.0,1612,0.0024990905076265335,241850,743
56,-3.9520411491394043,0.38,-15.438406369999997,0.0003,242349,4.16890287399292,0.007920782081782818,150.0,1616,0.0024443883448839188,242450,754
56,1.6387355327606201,0.39,-15.45387309,0.0003,242949,4.244336128234863,0.006568416953086853,150.0,1620,0.0024606494698673487,243050,765
56,-1.9264544248580933,0.39,-15.449889829999996,0.0003,243549,4.126131534576416,0.0036083003506064415,150.0,1624,0.002481823554262519,243650,776
56,2.998120069503784,0.39,-15.332108949999999,0.0003,244149,4.263492584228516,0.007434617727994919,150.0,1628,0.002449421677738428,244250,786
56,3.997873306274414,0.39,-15.43550667,0.0003,244749,4.394677639007568,0.003275183029472828,150.0,1632,0.0024153057020157576,244850,797
56,-1.6658604145050049,0.38,-15.397453260000002,0.0003,245349,4.127858638763428,0.0033887913450598717,150.0,1636,0.0023769300896674395,245450,807
56,-1.7164239883422852,0.38,-15.51053565,0.0003,245949,4.122235298156738,0.0026144867297261953,150.0,1640,0.0023669826332479715,246050,818
56,3.4431498050689697,0.41,-15.336334529999998,0.0003,246549,4.409001350402832,0.0058343433775007725,150.0,1644,0.0023129114415496588,246650,829
56,-4.294809341430664,0.4,-15.81116444,0.0003,247149,4.0560736656188965,0.0067980908788740635,150.0,1648,0.002288527088239789,247250,839
56,-1.4791803359985352,0.39,-15.492633130000002,0.0003,247749,4.2128586769104,0.0033483263105154037,150.0,1652,0.002289379481226206,247850,850
