rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range
-22.362796079999995,67584,150.0,135,33,497,0.0003,0.8734881281852722,320,-9.016156989336015,-0.017377017268154306,0.8202472478151321,0.06387725472450256,0.160400390625,0.017139232,0.1571213165996596,0.2
-21.593731809999998,69632,150.0,139,34,497,0.0003,0.8662393689155579,330,-8.943413603305817,-0.015491415200813208,0.5526356399059296,0.11915634572505951,0.13818359375,0.015342524,0.2586224442115054,0.2
-21.068028599999998,71680,150.0,143,35,497,0.0003,0.8632086515426636,340,-8.900368109345436,-0.01720701409649337,0.796225368976593,0.0433756560087204,0.173486328125,0.014162196,0.15602971543557942,0.2
-20.290528299999995,73728,150.0,147,36,498,0.0003,0.8518832921981812,350,-8.837573075294495,-0.016606427115038968,0.868998184800148,0.029907498508691788,0.16611328125,0.013932733,0.11026215634774417,0.2
-19.427948329999996,75776,150.0,151,37,498,0.0003,0.8455758094787598,360,-8.770068553090095,-0.02222287319455063,0.7392021417617798,0.010140381753444672,0.18310546875,0.015841149,0.12363457842729986,0.2
-18.82656032,77824,150.0,156,38,498,0.0003,0.8362926840782166,370,-8.70276981294155,-0.014990198054147186,0.7390788197517395,0.025835201144218445,0.1580078125,0.01360685,0.09093031561933458,0.2
-17.964273990000002,79872,150.0,160,39,498,0.0003,0.8294051289558411,380,-8.636172744631768,-0.012886205840914045,0.713260143995285,0.009784677997231483,0.14892578125,0.012614792,0.08007334455614909,0.2
-17.19957393,81920,150.0,164,40,499,0.0003,0.8208329081535339,390,-8.569347560405731,-0.015409697171708103,0.6856471300125122,0.028870202600955963,0.159716796875,0.015038434,0.06674103174591436,0.2
-16.52759154,83968,150.0,168,41,499,0.0003,0.8160061240196228,400,-8.514596953988075,-0.01640165417920798,0.45948320627212524,-0.005432490259408951,0.175244140625,0.014173595,0.05751343638403341,0.2
-15.74913802,86016,150.0,172,42,499,0.0003,0.8090688586235046,410,-8.462319418787956,-0.01838292714674026,0.7298490703105927,-0.004643701016902924,0.190771484375,0.016210414,0.0512541713018436,0.2
-15.177192569999999,88064,150.0,176,43,499,0.0003,0.7979148030281067,420,-8.379789885878562,-0.010270628750731703,0.6589344143867493,0.0044554453343153,0.153076171875,0.015084017,0.03799848724156618,0.2
-14.559043800000001,90112,150.0,180,44,499,0.0003,0.7912055850028992,430,-8.302436968684196,-0.020423998088517692,0.553346574306488,-0.009214937686920166,0.20947265625,0.014831454,0.045724200771655885,0.2
-14.05674867,92160,150.0,184,45,499,0.0003,0.7856861352920532,440,-8.246496152877807,-0.012157136875612196,0.5015798509120941,-0.00991552509367466,0.1677734375,0.014779562,0.03566374445217661,0.2
-13.63939403,94208,150.0,188,46,499,0.0003,0.7772638201713562,450,-8.185239559412002,-0.014372429989452939,0.6925590932369232,0.021102122962474823,0.170068359375,0.014847086,0.030200205533765255,0.2
-13.198032099999999,96256,150.0,192,47,499,0.0003,0.7695668339729309,460,-8.111378127336502,-0.014772943367279367,0.5196802318096161,0.012062030844390392,0.1875,0.017282795,0.03741219742805697,0.2
-12.670205830000002,98304,150.0,196,48,499,0.0003,0.757233738899231,470,-8.020202162861825,-0.013804084475850686,0.6101905703544617,-0.020094579085707664,0.180224609375,0.016621705,0.022353166682296432,0.2
-12.314512070000003,100352,150.0,200,49,499,0.0003,0.7478810548782349,480,-7.91896969228983,-0.01323196882076445,0.7197807431221008,-0.0057721612975001335,0.172412109375,0.018790752,0.02366166466672439,0.2
-11.909260729999998,102400,150.0,204,50,499,0.0003,0.7438057065010071,490,-7.862403936684132,-0.012334600735630374,0.6927284598350525,0.038620151579380035,0.1876953125,0.016323496,0.018478027769015172,0.2
-11.54775535,104448,150.0,208,51,499,0.0003,0.7375593781471252,500,-7.812410961091518,-0.0181749952462269,0.8337127268314362,-0.014230068773031235,0.230224609375,0.018994031,0.020272568421205506,0.2
-11.267447400000002,106496,150.0,212,52,500,0.0003,0.7248687744140625,510,-7.713257929682731,-0.014100977686757688,0.822402685880661,0.00782297644764185,0.2099609375,0.0153844915,0.018653171733603813,0.2
-11.00010253,108544,150.0,216,53,500,0.0003,0.7183100581169128,520,-7.629993906617164,-0.011972069859621116,0.7964410483837128,-0.018471799790859222,0.2107421875,0.016753852,0.013974559927009977,0.2
-10.7232828,110592,150.0,221,54,500,0.0003,0.7058090567588806,530,-7.531539735198021,-0.012881796293368098,0.8598306775093079,-0.009824508801102638,0.219921875,0.017067518,0.013302911058417521,0.2
