time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss
491,-18.69751117,150.0,116,258048,28,12.78598690032959,0.7938729971647263,0.2650064,0.29356521368026733,1250,22.389802051847802,0.0003,0.379150390625,-0.005616724847641308,0.2,-1.3392168577760457
491,-14.68811656,150.0,120,260096,29,0.026173951104283333,0.05453288555145264,0.04646839,0.2923940122127533,1260,0.20045664157223655,0.0003,0.427294921875,0.013905724341748282,0.2,-1.3006582334637642
491,-13.536111539999997,150.0,124,262144,30,-0.02029423601925373,0.38226979970932007,0.08568695,0.290937215089798,1270,0.07520040749514009,0.0003,0.42705078125,-0.005904968004324473,0.2,-1.2758914843201636
491,-11.96707718,150.0,129,264192,31,0.036449018865823746,0.3937262296676636,0.059539743,0.290174275636673,1280,0.08304477370329551,0.0003,0.454345703125,0.006474520514893811,0.2,-1.2487579565495253
492,-12.006377559999999,150.0,133,266240,32,-0.03122631460428238,-2.379326820373535,0.057745844,0.2894938588142395,1290,1.0110557503357995,0.0003,0.486474609375,0.0002337946880288655,0.2,-1.2315631601959467
491,-12.334360829999998,150.0,137,268288,33,-0.0018120286986231804,0.8754281252622604,0.05232916,0.28747376799583435,1300,0.042731236566760346,0.0003,0.44716796875,-0.00010169968809350393,0.2,-1.1990216545760632
491,-10.785850830000001,150.0,141,270336,34,0.05748230963945389,0.2217423915863037,0.40165234,0.28605788946151733,1310,0.6217655012616887,0.0003,0.42392578125,-0.0026156680134590713,0.2,-1.156315603479743
490,-10.20619554,150.0,146,272384,35,0.044698480516672134,0.6964997053146362,0.048580535,0.28390106558799744,1320,0.1082021870999597,0.0003,0.415966796875,0.0007210796691651921,0.2,-1.1046165335923432
490,-10.397988779999999,150.0,150,274432,36,-0.01908387430012226,0.8683909475803375,0.32770813,0.2801777422428131,1330,0.8912970830540872,0.0003,0.3611328125,-0.03037091915612109,0.2,-1.0414252536371351
488,-12.97504958,150.0,154,276480,37,0.035621561110019684,0.6959026753902435,0.07948137,0.2794095575809479,1340,0.11110198163660243,0.0003,0.499658203125,0.004299951760913245,0.2,-0.9745889080688357
488,-12.940727960000002,150.0,159,278528,38,3.8407254219055176,0.873846098780632,0.38747063,0.2776409983634949,1350,20.291539225447924,0.0003,0.2951171875,-0.0031490697481785903,0.2,-0.9465775948017836
488,-12.812458910000002,150.0,163,280576,39,-0.012398207560181618,-2.381624460220337,0.04774595,0.2757953703403473,1360,0.32002079431549646,0.0003,0.439111328125,0.006136356445495039,0.2,-0.8959186570718884
488,-12.54260298,150.0,167,282624,40,0.0017102435231208801,-3.7208991050720215,0.052754633,0.27356797456741333,1370,1.6323710441385628,0.0003,0.424658203125,-0.005474882455746411,0.2,-0.8457117635756731
488,-12.45163251,150.0,171,284672,41,0.07368273288011551,0.782968133687973,0.06873961,0.27190694212913513,1380,0.07905542667431291,0.0003,0.4599609375,-0.00450334995839512,0.2,-0.8042343284934759
488,-11.160127849999999,150.0,176,286720,42,0.04170865938067436,0.7165225446224213,0.06167706,0.2725675106048584,1390,0.05888688140839804,0.0003,0.445166015625,0.005898187034472357,0.2,-0.7884131902828813
488,-10.92185242,150.0,180,288768,43,0.08433876186609268,0.8800116181373596,0.04424637,0.2692442834377289,1400,0.04266405311063863,0.0003,0.454736328125,0.0030667833532788792,0.2,-0.7532367412000894
488,-11.109141750000001,150.0,184,290816,44,-0.0013935621827840805,0.804194837808609,0.05115418,0.2657143771648407,1410,0.05962175054155523,0.0003,0.41806640625,0.0009541675593936816,0.2,-0.6677028035745025
488,-8.76179359,150.0,188,292864,45,0.10538420081138611,0.3212655186653137,0.13607457,0.26615893840789795,1420,0.6294817840214819,0.0003,0.491650390625,0.01091962523641996,0.2,-0.6225945390760899
487,-11.571320919999998,150.0,193,294912,46,0.03128276765346527,0.7865964025259018,0.06051034,0.26620301604270935,1430,0.13362783876655157,0.0003,0.445166015625,0.004087178152985871,0.2,-0.6267463734373451
487,-11.471271179999997,150.0,197,296960,47,0.3357711136341095,0.9546302407979965,0.9407096,0.26460760831832886,1440,12.673132826684741,0.0003,0.334912109375,-0.03890048746543471,0.2,-0.6072795625776053
486,-13.920702610000003,150.0,201,299008,48,0.01314171589910984,0.6229937374591827,0.05800485,0.26287272572517395,1450,0.045155213882389945,0.0003,0.432421875,0.007807496211898979,0.2,-0.5647543143481016
485,-16.715223669999997,150.0,206,301056,49,0.15833227336406708,0.9706164486706257,1.3121097,0.2610955536365509,1460,3.3132619244919623,0.0003,0.37138671875,0.002710075373761356,0.2,-0.5137673400342464
486,-16.709465449999996,150.0,210,303104,50,0.2816064953804016,0.9538741745054722,0.53475714,0.2599821090698242,1470,13.370561680430546,0.0003,0.3794921875,-0.022106074260227614,0.2,-0.4766426246613264
486,-16.63704311,150.0,214,305152,51,0.016687655821442604,-0.030102014541625977,0.07641152,0.2584558129310608,1480,0.15944818634889088,0.0003,0.467626953125,0.0014577335372450762,0.2,-0.4455138150602579
486,-16.38499714,150.0,219,307200,52,0.08691257983446121,0.6083986461162567,0.06940946,0.25713226199150085,1490,0.07939218349056318,0.0003,0.4455078125,0.0057659106911160055,0.2,-0.413380428776145
486,-13.540592669999997,150.0,223,309248,53,0.015005197376012802,0.7809123545885086,0.06758013,0.25518685579299927,1500,0.08487427867949009,0.0003,0.4560546875,0.0014417323705856687,0.2,-0.3581449620425701
486,-13.702152499999997,150.0,227,311296,54,0.1779562085866928,0.6805234551429749,0.11136106,0.25340765714645386,1510,0.6838248621730599,0.0003,0.498779296875,0.0017040390273905359,0.2,-0.315097426623106
486,-13.87214531,150.0,231,313344,55,0.07694018632173538,0.3021950125694275,0.06288207,0.25297752022743225,1520,0.14193888765003065,0.0003,0.47880859375,0.0076814577019831635,0.2,-0.28201264552772043
486,-9.0551902,150.0,235,315392,56,57.29977798461914,-4.912688255310059,0.079866365,0.25173860788345337,1530,6.9386492067700605,0.0003,0.4724609375,0.013971834126277827,0.2,-0.2604645658284426
486,-8.90607349,150.0,240,317440,57,-0.020418759435415268,0.5879791378974915,0.08025521,0.25038740038871765,1540,0.14524043132696535,0.0003,0.433251953125,-0.012829887106636306,0.2,-0.2271577723324299
486,-8.84883559,150.0,244,319488,58,0.021072745323181152,0.8846699818968773,0.058307517,0.24842381477355957,1550,0.035410444399167317,0.0003,0.44462890625,-0.0022340724935929757,0.2,-0.1724461056292057
486,-8.933763050000001,150.0,248,321536,59,-0.008109364658594131,0.7731215953826904,0.055026714,0.2480003386735916,1560,0.030025600711087463,0.0003,0.430810546875,0.004602422811149154,0.2,-0.14794128462672235
