time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,train/n_updates,rollout/success_rate,train/ent_coef,time/episodes,train/ent_coef_loss
54,42.785072326660156,-150.0,150.0,24000,0.010403124615550041,0.0003,443,23899,0.0,0.0015657017938792706,160,-4.149728775024414
54,44.384334564208984,-150.0,150.0,24600,0.0076071941293776035,0.0003,455,24499,0.0,0.0015122706536203623,164,-1.7853533029556274
53,45.86150360107422,-150.0,150.0,25200,0.00752622913569212,0.0003,466,25099,0.0,0.0014855671906843781,168,-2.1956591606140137
53,47.30577087402344,-150.0,150.0,25800,0.008281292393803596,0.0003,478,25699,0.0,0.0014645783230662346,172,-0.08739745616912842
53,48.598514556884766,-150.0,150.0,26400,0.008747890591621399,0.0003,489,26299,0.0,0.0015005278401076794,176,-0.556108832359314
53,49.980125427246094,-150.0,150.0,27000,0.009511218406260014,0.0003,500,26899,0.0,0.0015270960284397006,180,2.2723464965820312
53,51.23535919189453,-150.0,150.0,27600,0.006765673868358135,0.0003,511,27499,0.0,0.0015404013684019446,184,-1.6276401281356812
53,52.507293701171875,-150.0,150.0,28200,0.015748731791973114,0.0003,523,28099,0.0,0.0015488353092223406,188,1.8500350713729858
53,53.808170318603516,-150.0,150.0,28800,0.015427561476826668,0.0003,534,28699,0.0,0.0016072572907432914,192,-2.851367712020874
53,55.04963684082031,-150.0,150.0,29400,0.008922530338168144,0.0003,546,29299,0.0,0.001586681930348277,196,2.555394172668457
53,56.20807647705078,-150.0,150.0,30000,0.013241232372820377,0.0003,557,29899,0.0,0.0016666760202497244,200,-0.5830967426300049
53,57.31007385253906,-150.0,150.0,30600,0.007993338629603386,0.0003,569,30499,0.0,0.0016513883601874113,204,-0.5679253935813904
53,58.413272857666016,-150.0,150.0,31200,0.01067353319376707,0.0003,580,31099,0.0,0.0016369784716516733,208,-1.7549951076507568
53,59.52787780761719,-150.0,150.0,31800,0.008019184693694115,0.0003,592,31699,0.0,0.0015446674078702927,212,-1.8357326984405518
53,60.62224197387695,-150.0,150.0,32400,0.012870028614997864,0.0003,603,32299,0.0,0.0015346811851486564,216,-0.8015883564949036
53,61.56885528564453,-150.0,150.0,33000,0.009317909367382526,0.0003,615,32899,0.0,0.0016228071181103587,220,-2.0996103286743164
53,62.5690803527832,-150.0,150.0,33600,0.008950360119342804,0.0003,626,33499,0.0,0.001661811489611864,224,1.577256441116333
53,63.57482147216797,-150.0,150.0,34200,0.012215462513267994,0.0003,637,34099,0.0,0.0017301880288869143,228,-0.05820971727371216
53,64.48384094238281,-150.0,150.0,34800,0.008631606586277485,0.0003,648,34699,0.0,0.0017557434039190412,232,-0.10410451889038086
53,65.3611831665039,-150.0,150.0,35400,0.006600352004170418,0.0003,659,35299,0.0,0.0017195992404595017,236,3.2483227252960205
53,66.17861938476562,-150.0,150.0,36000,0.009993532672524452,0.0003,671,35899,0.0,0.001697583356872201,240,1.1110650300979614
53,67.0577163696289,-150.0,150.0,36600,0.009242650121450424,0.0003,684,36499,0.0,0.0016497984761372209,244,-3.4189209938049316
53,67.89968872070312,-150.0,150.0,37200,0.008762342855334282,0.0003,695,37099,0.0,0.0016276243841275573,248,-1.8832635879516602
53,68.48771667480469,-150.0,150.0,37800,0.010554402135312557,0.0003,707,37699,0.0,0.001598416711203754,252,-0.8554725050926208
