time/fps,train/ent_coef_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/success_rate,train/critic_loss,train/ent_coef,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/actor_loss,train/n_updates
56,33.83576202392578,-30.985230939999997,62,2736,0.26,0.05399950221180916,0.006239613518118858,403500,0.0003,80.0,10.85453987121582,403399
56,37.335411071777344,-31.82687262,65,2740,0.23,0.03668094426393509,0.006535383407026529,403700,0.0003,76.0,11.656547546386719,403599
56,34.678741455078125,-32.59158437999999,69,2744,0.2,0.05551217123866081,0.00683517986908555,403900,0.0003,72.0,11.115692138671875,403799
56,31.962129592895508,-34.194284280000005,72,2748,0.17,0.05795759707689285,0.007148718927055597,404100,0.0003,68.0,12.157133102416992,403999
56,34.66503143310547,-35.9636948,76,2752,0.14,0.05087009817361832,0.00748109444975853,404300,0.0003,64.0,12.58009147644043,404199
56,29.094623565673828,-38.61717748,80,2756,0.13,0.09707140922546387,0.007841009646654129,404500,0.0003,60.0,11.834211349487305,404399
56,25.976102828979492,-38.06169817000001,83,2760,0.11,0.10989432036876678,0.008235951885581017,404700,0.0003,56.0,11.630561828613281,404599
56,27.1048641204834,-40.13256814000001,87,2764,0.07,0.07543523609638214,0.008644960820674896,404900,0.0003,52.0,12.646153450012207,404799
56,29.630863189697266,-41.181227480000004,90,2768,0.04,0.12670284509658813,0.009065921418368816,405100,0.0003,50.0,13.668756484985352,404999
56,25.604883193969727,-40.27884143,94,2772,0.04,0.0744408592581749,0.009503976441919804,405300,0.0003,50.0,13.118279457092285,405199
56,23.122060775756836,-39.97782118999999,98,2776,0.02,0.05260849744081497,0.009928184561431408,405500,0.0003,50.0,12.076493263244629,405399
56,18.805213928222656,-40.037574299999996,101,2780,0.02,0.09959139674901962,0.010355009697377682,405700,0.0003,50.0,12.523323059082031,405599
55,20.535852432250977,-40.431308740000006,105,2784,0.02,0.06267783045768738,0.01079369243234396,405900,0.0003,50.0,12.893500328063965,405799
55,11.704490661621094,-38.960570159999996,109,2788,0.02,0.07229869067668915,0.011259573511779308,406100,0.0003,50.0,11.838335990905762,405999
55,14.376680374145508,-38.75388389999999,112,2792,0.02,0.08811838924884796,0.011727000586688519,406300,0.0003,50.0,13.406702041625977,406199
55,17.062175750732422,-39.09298558999999,116,2796,0.02,0.0780753418803215,0.012195663526654243,406500,0.0003,50.0,13.137845993041992,406399
55,10.905906677246094,-36.97355502,119,2800,0.02,0.10557615011930466,0.012658760882914066,406700,0.0003,50.0,12.130363464355469,406599
55,9.085947036743164,-37.0900507,123,2804,0.01,0.09766761213541031,0.013128746300935745,406900,0.0003,50.0,12.356698036193848,406799
55,9.521636962890625,-36.6446272,127,2808,0.01,0.10370999574661255,0.01355992816388607,407100,0.0003,50.0,12.691136360168457,406999
