time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/explained_variance
485,-8.243944509999999,50.0,21,243712,88,0.046170957,0.0003,2.8539397716522217,-0.008912577165756375,0.38357192277908325,0.371142578125,-3.143842540681362,0.2,5.8150868869852275,1180,0.8534369170665741
485,-7.838333500000002,50.0,22,245760,92,0.086743474,0.0003,8.73621940612793,-0.010228182798891794,0.38312482833862305,0.320068359375,-3.125575216859579,0.2,17.153105046553538,1190,0.6930626034736633
486,-7.661459369999999,50.0,23,247808,96,0.07824324,0.0003,0.18747320771217346,-0.00865382387455611,0.3783186078071594,0.400634765625,-3.0686629377305508,0.2,0.8741889946511947,1200,0.8740334212779999
486,-6.1268192500000005,50.0,24,249856,101,0.043416683,0.0003,0.12831157445907593,-0.0019280727283330634,0.37638241052627563,0.427734375,-3.0139461673796175,0.2,0.4445148346887436,1210,-0.12644648551940918
486,-7.60181763,50.0,25,251904,105,0.050520845,0.0003,0.16075477004051208,-0.008168346365710021,0.37478208541870117,0.41259765625,-2.9780216701328754,0.2,0.3199103927705437,1220,0.6863772571086884
486,-7.38346998,50.0,26,253952,109,0.090819545,0.0003,0.06425327062606812,-0.016652781864104328,0.3722306787967682,0.37470703125,-2.9424584195017816,0.2,1.9931832855800167,1230,0.8699246346950531
486,-7.73749559,50.0,27,256000,113,0.05473401,0.0003,0.13540241122245789,-0.012314196895749774,0.37343791127204895,0.429443359375,-2.924110462516546,0.2,0.20039804251282475,1240,0.672796368598938
485,-8.131019279999999,50.0,28,258048,118,0.14697042,0.0003,3.447462320327759,-0.020245555574365425,0.37249329686164856,0.32412109375,-2.926407914608717,0.2,10.530514679756015,1250,0.8723650425672531
485,-8.53745905,50.0,29,260096,122,0.1479892,0.0003,0.3249358832836151,0.009495443968626205,0.37011632323265076,0.3576171875,-2.8879695080220698,0.2,1.5881198122398927,1260,0.5188754796981812
485,-8.415556950000001,50.0,30,262144,126,0.061021566,0.0003,2.988745927810669,0.0011464363720733672,0.36913833022117615,0.385498046875,-2.8522959619760515,0.2,10.21760583058931,1270,0.8599682301282883
