time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/policy_gradient_loss,train/std
80,638976,456,150.0,-93.80815672,18,0.0003,0.2816299222409725,26.89957690089941,0.2,3110,1.0575249,0.55556640625,0.9513616673648357,5.468724250793457,0.03633238070033258,0.2340199202299118
85,641024,457,150.0,-102.24473689,19,0.0003,0.27460954189300535,82.6689521253109,0.2,3120,0.057416722,0.378466796875,0.9208920449018478,29.78069496154785,-0.000759577574353898,0.2333459109067917
89,643072,458,150.0,-99.70222226000001,20,0.0003,0.2815438613295555,26.007489697635172,0.2,3130,0.16268897,0.48291015625,0.9697381742298603,8.176517486572266,0.010274786280206172,0.23358038067817688
94,645120,456,150.0,-102.92438969000003,21,0.0003,0.26987502686679365,32.34255323335528,0.2,3140,0.18798839,0.54580078125,0.9513547271490097,9.457977294921875,0.012147959774301853,0.2337529957294464
99,647168,453,150.0,-105.53224548,22,0.0003,0.24846523590385913,33.38711596578359,0.2,3150,0.14007756,0.47890625,0.9218139499425888,4.676828384399414,0.019329588643449823,0.23580025136470795
103,649216,453,150.0,-107.62131767000001,23,0.0003,0.18396548554301262,30.619071969389914,0.2,3160,0.5781982,0.546923828125,0.966960247606039,14.178400993347168,0.01686727327250992,0.23820073902606964
108,651264,453,150.0,-113.56769346000002,24,0.0003,0.13230393044650554,52.48615655601024,0.2,3170,0.10738072,0.4572265625,0.9488989971578121,11.012959480285645,0.004040887557493988,0.2388567179441452
113,653312,451,150.0,-105.10023595999999,25,0.0003,0.1384729240089655,51.41434514373541,0.2,3180,0.083992586,0.408935546875,0.9175860434770584,20.81751823425293,0.0016581651478190906,0.23743605613708496
118,655360,450,150.0,-100.31461331999998,26,0.0003,0.1611143372952938,78.1856478869915,0.2,3190,0.10171143,0.389794921875,0.9269075468182564,13.782272338867188,0.0004487821744987741,0.23760156333446503
122,657408,450,150.0,-107.50718001,27,0.0003,0.1447552666068077,43.05716215595603,0.2,3200,0.5164738,0.52978515625,0.9475539065897465,3.9462432861328125,0.027510853551211766,0.23869650065898895
127,659456,450,150.0,-103.29398768999998,28,0.0003,0.11272000372409821,46.359287635982035,0.2,3210,0.12166842,0.45625,0.9499318711459637,2.6696527004241943,0.01486050893436186,0.2397226095199585
132,661504,449,150.0,-105.82631308000002,29,0.0003,0.06690992712974549,39.749510338157414,0.2,3220,0.35523704,0.566552734375,0.9705004543066025,6.898915767669678,0.02312598599382909,0.24135936796665192
