time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,train/std,train/clip_range,train/explained_variance
90,442368,20,150.0,454,-88.44544765,0.0061636153288418425,2150,98.19330243468285,0.09473477,0.49423828125,19.41297149658203,0.0003,1.0338746696710586,0.2098616063594818,0.2,0.9241536408662796
94,444416,21,150.0,453,-90.73916406000002,0.01268783622799674,2160,57.60366077721119,0.3270295,0.469287109375,16.01970672607422,0.0003,1.0456324700266122,0.20958943665027618,0.2,0.9460056088864803
99,446464,22,150.0,454,-96.32352828,-1.926119439303875e-05,2170,127.07152987718582,0.044362262,0.3703125,40.392173767089844,0.0003,1.038582619279623,0.2103210687637329,0.2,0.909147635102272
103,448512,23,150.0,454,-87.64024155000001,0.0077737877305480655,2180,126.65258002877235,0.08490856,0.415234375,29.617950439453125,0.0003,1.0181639935821294,0.21095171570777893,0.2,0.8828762024641037
108,450560,24,150.0,454,-86.16251735999998,0.03152954920660704,2190,39.03188154250383,0.4070414,0.585107421875,7.566337585449219,0.0003,1.0111136261373759,0.21088089048862457,0.2,0.9550842382013798
112,452608,25,150.0,455,-87.56153129,0.009153196281840793,2200,59.04733359664679,0.31717175,0.52919921875,8.801953315734863,0.0003,0.9987357726320625,0.2117735892534256,0.2,0.920071430504322
116,454656,26,150.0,456,-89.26258499000001,0.03766090603894554,2210,38.21744214184582,0.4970136,0.678466796875,7.875572204589844,0.0003,0.9855071121826768,0.21143238246440887,0.2,0.9434808865189552
120,456704,27,150.0,456,-73.13554694,0.02443032751689316,2220,44.11185458004475,0.13759047,0.536181640625,18.66051483154297,0.0003,0.9968060409650207,0.21129533648490906,0.2,0.9595938362181187
126,458752,28,150.0,455,-77.52409437,0.05336752173316199,2230,7.239010638184846,0.36934996,0.672802734375,0.7076438665390015,0.0003,0.9851987095549702,0.21193751692771912,0.2,0.8426787704229355
130,460800,29,150.0,455,-65.4591389,0.03218209431361174,2240,48.59431297183037,0.9645412,0.5095703125,10.573867797851562,0.0003,0.9775242345407605,0.21180786192417145,0.2,0.9148459360003471
